uid,cid
4840, "GSJ408"
1857, "DAC402"
2885, "PHARM229"
1736, "HLTH420"
902, "CS383"
4888, "RS236"
1343, "LS240"
1647, "FINE223"
3106, "PSCI403"
2031, "GER303"
3877, "AMATH332"
3704, "PSCI456"
1761, "CLAS342"
1557, "BIOL342"
841, "LS305"
2268, "AFM323"
3756, "CHINA301R"
4603, "GEOG487"
3451, "DAC302"
2539, "LS202"
2410, "FR192B"
1533, "EARTH123"
3595, "EARTH461"
4802, "ENGL372"
1584, "CS360"
4038, "LS263"
4220, "SOCWK365R"
3954, "PMATH433"
697, "FR375"
815, "ENGL344"
4582, "PHYS260B"
4254, "SYDE599"
2995, "ENGL100A"
588, "MTE203"
4018, "ECON458"
2343, "GER102"
3971, "OPTOM367"
3420, "GER396"
1431, "ECE457B"
3381, "CIVE375"
2822, "PHIL110B"
1446, "AE115"
4528, "ECE457A"
381, "BIOL302"
755, "PSCI370"
4470, "CS479"
2382, "BET210"
4059, "PHYS476"
1530, "REC372"
4486, "PHARM363"
184, "BIOL130L"
2746, "CHEM220"
3539, "PHARM220"
2181, "CLAS210"
4089, "ARTS140"
2515, "HRTS302"
2003, "GER272"
4880, "SDS215R"
1252, "MSE334"
632, "NE454C"
3372, "SFM101"
643, "BIOL475"
1038, "AE392"
2004, "PHIL471"
3468, "SWREN431R"
986, "BLKST224"
1255, "PSCI355"
2877, "CS251E"
2685, "SMF241"
4592, "PHARM391"
578, "SOC320"
2200, "AFM446"
900, "PMATH320"
817, "RS358"
4124, "PSCI252"
4443, "ECON421"
833, "SYDE544"
3992, "MSE442"
1577, "ERS460"
3493, "SYDE112"
2957, "SOC253"
3942, "ENGL306A"
4712, "BIOL498A"
2983, "PACS335"
4353, "PHARM376"
3219, "SYDE381"
4824, "GEOE400"
1942, "ECON322"
1744, "CO330"
1370, "ECON207"
4007, "ECE405B"
1391, "THPERF491"
2608, "ECON421"
1203, "CLAS490A"
1187, "ERS372"
212, "PHIL498"
372, "CHINA320R"
177, "THPERF322"
2741, "EASIA391R"
3831, "AMATH475"
4996, "ECE360"
1893, "CMW364"
2231, "COMMST111"
3223, "AMATH382"
3777, "HUMSC401"
727, "PSYCH480"
3013, "APPLS391"
1112, "OPTOM451"
205, "PHIL228"
267, "PDPHRM3"
3842, "LS223"
2790, "NE333"
517, "ENGL481"
3606, "PHIL371"
1171, "FINE305"
328, "FINE343"
3599, "HLTH355"
2234, "ARCH342"
2195, "GEOG387"
418, "HUMSC201"
4856, "EARTH358"
3507, "SFM413"
3627, "PHARM228"
4800, "BET100"
1819, "STAT443"
3553, "AMATH495"
1209, "ENGL101B"
480, "STAT211"
3120, "ENBUS403B"
4971, "HIST265"
4593, "ARCH449"
4566, "PHYS270L"
4039, "GEOG415"
2172, "ME535"
689, "SOC428"
1378, "PMATH336"
1238, "PACS335"
3043, "SPAN344"
1613, "ANTH355"
1643, "ENGL392B"
1407, "ENBUS406"
3058, "PMATH464"
1178, "PDARCH4"
4016, "MTE482"
4400, "SMF490"
2983, "MUSIC355"
4819, "SOC325"
1656, "LS273"
2008, "SOC417"
1951, "NE140"
4617, "INDG226"
1636, "KOREA302R"
3723, "ME101"
2274, "LS366"
928, "ECE207"
1154, "ECE360"
2199, "PD22"
3094, "CO486"
2177, "SMF306"
4049, "HLTH443"
3019, "ENGL291"
699, "CO486"
3873, "PLAN432"
767, "OPTOM342B"
4341, "REES230"
714, "JS228"
3443, "PLAN300"
4053, "CIVE354"
621, "COOP3"
1850, "PSYCH375R"
4191, "GSJ101"
140, "ENGL305B"
1879, "PHIL482"
1252, "PSCI260"
1972, "ANTH204"
363, "SYDE531"
1718, "BLKST302"
2060, "OPTOM477"
2784, "SWREN471R"
2041, "PHIL284"
4903, "LS431"
3019, "PHIL324"
1955, "MUSIC335"
4550, "BME121"
1316, "SOC465"
852, "MATH235"
33, "PSCI460"
1669, "SOC418"
3469, "THPERF361"
70, "ENVE277"
1692, "GEOE224"
3610, "INTEG475A"
1908, "CO353"
4472, "HEALTH100"
3619, "ENGL230"
2511, "KIN104L"
4050, "BIOL376"
4990, "GENE21I"
3095, "BIOL341"
4999, "KOREA201R"
4387, "FINE150"
735, "BME364"
3843, "ARCH392"
3764, "ENGL485"
4444, "ACTSC362"
332, "CS475"
2432, "EARTH438"
3016, "DAC400"
2499, "JAPAN102R"
4597, "BIOL450"
2539, "GER385"
170, "BIOL486"
2892, "SMF366"
4714, "PSCI259"
3905, "SFM328"
2660, "SOC249"
