uid1,uid2
1152, 2347
2347, 1152
412, 2537
2537, 412
2291, 2620
2620, 2291
2492, 4596
4596, 2492
336, 3481
3481, 336
217, 2069
2069, 217
3277, 3590
3590, 3277
2440, 3093
3093, 2440
501, 2013
2013, 501
925, 3472
3472, 925
130, 3763
3763, 130
900, 3415
3415, 900
2565, 2980
2980, 2565
256, 869
869, 256
2226, 2733
2733, 2226
2477, 4072
4072, 2477
445, 741
741, 445
11, 4421
4421, 11
1613, 3472
3472, 1613
2279, 2744
2744, 2279
469, 2266
2266, 469
2510, 4370
4370, 2510
1475, 3888
3888, 1475
1497, 3647
3647, 1497
2197, 3092
3092, 2197
3556, 4829
4829, 3556
3494, 3951
3951, 3494
1242, 2374
2374, 1242
2260, 4572
4572, 2260
693, 3071
3071, 693
1525, 3601
3601, 1525
497, 2378
2378, 497
2938, 3854
3854, 2938
1030, 2841
2841, 1030
3106, 3438
3438, 3106
1440, 1958
1958, 1440
2439, 3914
3914, 2439
2953, 4135
4135, 2953
4567, 4701
4701, 4567
2220, 2298
2298, 2220
184, 4483
4483, 184
326, 402
402, 326
2660, 3509
3509, 2660
1833, 2010
2010, 1833
1308, 3320
3320, 1308
1222, 1856
1856, 1222
1258, 1513
1513, 1258
2290, 3417
3417, 2290
297, 1512
1512, 297
1003, 3623
3623, 1003
2081, 4182
4182, 2081
3629, 4660
4660, 3629
2956, 3628
3628, 2956
1077, 3545
3545, 1077
2694, 4567
4567, 2694
2091, 2776
2776, 2091
4455, 4594
4594, 4455
119, 3468
3468, 119
2171, 4233
4233, 2171
1639, 4372
4372, 1639
3131, 3228
3228, 3131
768, 4264
4264, 768
250, 4274
4274, 250
2215, 3377
3377, 2215
2276, 3064
3064, 2276
557, 1950
1950, 557
1658, 1739
1739, 1658
2936, 3110
3110, 2936
463, 1534
1534, 463
3852, 4277
4277, 3852
2355, 4296
4296, 2355
3571, 4789
4789, 3571
3009, 3773
3773, 3009
360, 2725
2725, 360
1046, 3403
3403, 1046
62, 3418
3418, 62
1821, 2618
2618, 1821
372, 1365
1365, 372
1304, 3819
3819, 1304
701, 3526
3526, 701
2344, 3332
3332, 2344
3474, 4051
4051, 3474
549, 3886
3886, 549
2710, 3840
3840, 2710
934, 2192
2192, 934
674, 3773
3773, 674
887, 4066
4066, 887
49, 3721
3721, 49
1138, 1433
1433, 1138
2874, 3682
3682, 2874
28, 400
400, 28
1846, 4903
4903, 1846
1132, 3870
3870, 1132
354, 570
570, 354
2816, 3677
3677, 2816
2179, 4554
4554, 2179
790, 1100
1100, 790
764, 2885
2885, 764
855, 2249
2249, 855
867, 1320
1320, 867
1204, 4123
4123, 1204
1451, 4754
4754, 1451
2323, 4683
4683, 2323
2503, 3338
3338, 2503
1321, 2429
2429, 1321
670, 1156
1156, 670
3439, 4191
4191, 3439
2900, 3159
3159, 2900
639, 2782
2782, 639
2559, 2866
2866, 2559
2763, 2861
2861, 2763
2861, 3204
3204, 2861
1868, 2948
2948, 1868
4484, 4987
4987, 4484
2132, 2240
2240, 2132
4138, 4350
4350, 4138
1347, 1906
1906, 1347
772, 3661
3661, 772
2679, 2759
2759, 2679
442, 524
524, 442
16, 1813
1813, 16
1533, 4698
4698, 1533
2649, 4987
4987, 2649
2592, 4453
4453, 2592
2549, 3817
3817, 2549
3743, 3797
3797, 3743
451, 1926
1926, 451
4386, 4428
4428, 4386
1736, 4468
4468, 1736
3931, 4787
4787, 3931
2729, 3411
3411, 2729
165, 3225
3225, 165
1407, 4185
4185, 1407
1700, 2717
2717, 1700
3358, 3555
3555, 3358
2167, 4812
4812, 2167
3294, 3570
3570, 3294
152, 4868
4868, 152
193, 4869
4869, 193
1023, 1162
1162, 1023
993, 2451
2451, 993
88, 130
130, 88
1037, 4443
4443, 1037
428, 952
952, 428
1570, 4714
4714, 1570
1955, 4525
4525, 1955
3925, 4726
4726, 3925
59, 2583
2583, 59
1568, 1635
1635, 1568
1736, 3663
3663, 1736
461, 4283
4283, 461
1419, 1512
1512, 1419
4299, 4378
4378, 4299
180, 4041
4041, 180
2456, 3760
3760, 2456
2438, 4120
4120, 2438
175, 664
664, 175
603, 3585
3585, 603
349, 1194
1194, 349
3188, 4059
4059, 3188
1929, 2149
2149, 1929
890, 4150
4150, 890
1401, 4100
4100, 1401
3297, 4352
4352, 3297
3052, 4521
4521, 3052
1882, 2683
2683, 1882
75, 1722
1722, 75
1558, 1805
1805, 1558
3538, 4414
4414, 3538
