sessionId, userId, review
1, 65, 10
2, 1632, 7
2, 98, 9
2, 4202, 4
2, 720, 2
2, 4285, 6
2, 510, 10
3, 1269, 10
3, 2623, 5
4, 4049, 2
4, 2444, 9
4, 191, 8
5, 1835, 6
5, 2989, 8
6, 115, 3
7, 4995, 3
7, 4931, 5
7, 3243, 6
7, 4815, 4
7, 403, 7
9, 104, 6
9, 35, 1
10, 135, 3
10, 4719, 6
10, 2200, 4
10, 4477, 9
11, 49, 7
11, 1847, 3
12, 136, 5
13, 161, 3
13, 3344, 1
14, 3540, 5
14, 180, 7
15, 2210, 3
15, 4003, 5
15, 2184, 6
15, 4437, 3
16, 2287, 7
17, 1534, 4
18, 2017, 2
18, 98, 2
18, 293, 8
19, 321, 9
19, 89, 10
20, 2, 10
20, 1602, 1
20, 3013, 7
20, 3270, 3
20, 4564, 1
21, 2066, 5
22, 24, 5
23, 2502, 8
23, 4690, 1
23, 1975, 2
23, 4057, 6
23, 988, 5
24, 3688, 4
24, 173, 3
24, 2158, 10
24, 3891, 2
25, 1150, 8
26, 173, 7
27, 177, 3
27, 1622, 4
28, 4774, 7
30, 166, 6
30, 4665, 2
30, 1214, 4
31, 177, 6
31, 2641, 4
32, 221, 1
33, 52, 7
34, 2346, 10
35, 72, 2
35, 2857, 8
36, 4784, 7
36, 29, 10
36, 1493, 4
37, 588, 4
37, 3699, 4
37, 24, 2
37, 1725, 7
38, 4893, 10
38, 47, 5
38, 1368, 8
39, 2731, 10
39, 4, 2
40, 3463, 2
40, 3689, 4
40, 2123, 2
40, 2828, 8
40, 3676, 5
41, 128, 6
42, 3545, 1
43, 38, 10
44, 4805, 10
44, 3826, 5
44, 1492, 10
44, 2070, 7
44, 926, 2
45, 1120, 5
46, 3394, 2
46, 838, 8
46, 2505, 8
46, 235, 2
46, 4081, 2
46, 2516, 8
46, 3451, 6
47, 2784, 8
47, 4981, 7
47, 1918, 9
48, 2020, 7
48, 1620, 8
49, 17, 9
49, 3246, 2
50, 2030, 1
50, 22, 1
51, 3650, 3
52, 4892, 5
53, 2576, 9
53, 2073, 10
54, 2890, 2
55, 1648, 9
55, 141, 2
56, 45, 7
56, 1110, 3
56, 3549, 4
59, 4404, 3
59, 4823, 8
59, 574, 8
59, 2719, 9
60, 181, 4
61, 192, 5
62, 4631, 4
64, 39, 10
65, 1039, 7
66, 22, 10
67, 3203, 2
67, 149, 5
68, 19, 4
68, 1197, 8
69, 226, 8
70, 172, 6
70, 2485, 1
71, 3078, 3
71, 45, 6
71, 1139, 9
72, 2929, 2
72, 25, 10
72, 1738, 5
73, 111, 9
74, 132, 7
74, 1096, 6
74, 137, 3
75, 69, 1
75, 1360, 10
75, 2365, 3
76, 960, 4
76, 42, 6
76, 340, 3
78, 3133, 6
80, 112, 9
80, 1658, 2
81, 91, 8
82, 1440, 1
82, 1158, 2
82, 167, 9
82, 2259, 8
82, 1237, 3
82, 471, 2
83, 1191, 3
83, 2122, 10
83, 89, 1
83, 2267, 6
84, 4761, 9
84, 1823, 4
85, 496, 7
85, 4472, 7
85, 2962, 8
86, 1610, 8
86, 4429, 1
86, 2130, 9
87, 1956, 8
87, 178, 5
87, 543, 9
88, 186, 10
88, 1997, 7
88, 3938, 6
89, 24, 10
89, 4420, 2
90, 832, 8
91, 3501, 10
91, 1424, 5
91, 145, 9
92, 3575, 7
92, 1719, 10
93, 4696, 3
93, 54, 5
94, 28, 2
94, 1437, 3
96, 83, 3
97, 4188, 1
97, 2462, 9
98, 4192, 8
98, 97, 8
98, 2255, 1
98, 1204, 9
98, 3606, 4
100, 1776, 3
100, 1875, 4
100, 1912, 5
100, 122, 5
102, 197, 8
102, 1032, 9
102, 3282, 4
102, 3478, 2
103, 4128, 4
103, 4265, 9
103, 11, 8
103, 4596, 10
103, 2549, 9
103, 4116, 5
103, 153, 3
103, 4346, 2
104, 4320, 5
104, 4390, 1
104, 1942, 6
104, 823, 9
104, 3167, 4
106, 4962, 2
106, 2381, 6
106, 4853, 6
106, 3322, 10
106, 1243, 5
106, 702, 10
108, 180, 2
109, 12, 5
109, 149, 1
110, 4197, 10
110, 4462, 8
110, 660, 10
111, 4041, 9
112, 2530, 8
113, 1621, 6
113, 57, 3
114, 1151, 8
115, 2, 1
115, 3047, 1
115, 3662, 9
115, 1427, 4
116, 4176, 9
116, 4888, 8
116, 447, 5
117, 40, 9
118, 4, 2
119, 1853, 4
120, 1282, 5
120, 4828, 8
121, 3402, 10
122, 990, 4
122, 63, 10
123, 646, 7
123, 4082, 9
123, 53, 4
123, 126, 7
125, 47, 4
125, 2618, 9
125, 3834, 10
125, 1407, 5
128, 812, 7
128, 831, 1
129, 51, 3
131, 4225, 4
131, 182, 5
132, 150, 2
133, 740, 9
133, 186, 10
133, 3164, 3
134, 3723, 10
135, 177, 6
136, 24, 7
137, 3123, 9
137, 60, 6
137, 3679, 5
138, 2262, 1
138, 3099, 6
139, 113, 1
141, 3299, 6
141, 4004, 1
141, 1911, 9
142, 60, 4
143, 3160, 7
144, 96, 6
145, 4496, 3
145, 122, 2
146, 242, 8
146, 2060, 2
146, 149, 2
147, 128, 3
147, 1184, 4
147, 2961, 10
147, 2712, 8
148, 117, 8
149, 106, 6
149, 102, 9
150, 1345, 5
150, 2504, 3
150, 3086, 5
150, 180, 3
151, 1606, 1
151, 140, 9
151, 1069, 6
151, 942, 8
151, 1358, 7
152, 88, 8
153, 3524, 7
153, 3717, 10
153, 2221, 10
153, 3055, 1
153, 143, 7
153, 4946, 3
154, 2937, 10
154, 151, 7
155, 2242, 6
155, 59, 9
156, 90, 4
157, 357, 5
157, 1482, 8
157, 2517, 8
158, 2195, 5
158, 343, 3
158, 4600, 10
159, 404, 9
159, 20, 6
160, 3117, 5
160, 132, 8
160, 1669, 3
161, 139, 6
162, 11, 2
164, 3737, 1
164, 2603, 1
164, 117, 9
165, 187, 7
165, 2013, 6
165, 2070, 5
166, 263, 5
166, 181, 1
166, 3865, 2
167, 423, 3
168, 128, 10
168, 2255, 3
169, 70, 6
170, 2979, 10
170, 1255, 7
170, 4649, 2
170, 92, 8
171, 4352, 1
172, 2899, 10
174, 1087, 9
174, 2231, 5
175, 4229, 10
175, 2951, 4
175, 2071, 2
176, 4847, 5
176, 2386, 10
176, 179, 3
178, 2848, 5
178, 3, 7
178, 3534, 6
178, 4721, 5
178, 2140, 3
179, 2279, 7
180, 4627, 8
181, 130, 5
181, 2155, 9
181, 4859, 5
182, 656, 2
183, 2561, 2
183, 1538, 6
183, 2445, 6
183, 4369, 7
183, 157, 5
184, 4290, 4
184, 4494, 3
184, 2671, 6
185, 3681, 2
186, 181, 5
187, 192, 4
187, 3116, 6
188, 2608, 7
188, 1971, 1
188, 2366, 9
189, 2444, 8
189, 4894, 6
189, 175, 1
190, 4156, 4
190, 159, 4
191, 3002, 3
191, 98, 6
191, 1147, 6
192, 924, 7
193, 2664, 2
194, 47, 7
195, 496, 1
196, 115, 4
197, 3110, 7
199, 41, 6
201, 968, 9
201, 3319, 10
201, 281, 3
202, 4836, 1
202, 106, 10
203, 1329, 6
203, 63, 4
204, 1732, 1
204, 46, 2
204, 2175, 5
205, 1666, 7
205, 95, 8
206, 70, 1
207, 358, 9
207, 1615, 8
207, 4697, 1
207, 116, 8
207, 2105, 10
207, 124, 2
208, 1441, 9
208, 4730, 5
209, 3776, 4
209, 623, 4
209, 734, 8
209, 1887, 2
210, 1473, 4
210, 3851, 1
210, 4383, 9
211, 22, 5
212, 752, 9
212, 185, 2
212, 1815, 1
213, 4257, 10
213, 4930, 10
213, 4267, 8
213, 4620, 8
213, 4215, 8
213, 31, 8
214, 4609, 2
214, 42, 5
214, 2159, 10
214, 976, 10
214, 1176, 4
215, 19, 2
215, 1909, 4
215, 22, 9
216, 2700, 1
216, 92, 9
217, 4289, 9
217, 195, 2
218, 4849, 4
218, 43, 6
219, 36, 1
220, 2080, 5
220, 176, 3
221, 4813, 7
222, 4856, 4
222, 20, 5
223, 194, 2
223, 2471, 5
223, 239, 9
223, 2623, 2
224, 32, 10
225, 122, 5
226, 3073, 7
226, 2692, 9
226, 522, 9
227, 42, 5
227, 4171, 7
227, 2667, 3
227, 3987, 9
227, 4154, 9
229, 2312, 2
230, 4649, 3
230, 109, 4
230, 368, 5
230, 1425, 6
231, 2738, 7
231, 142, 6
231, 518, 2
232, 1281, 4
232, 567, 3
232, 106, 6
232, 3633, 6
232, 4764, 3
232, 3678, 4
234, 100, 2
234, 1774, 3
235, 1699, 9
235, 901, 1
235, 1990, 4
235, 74, 3
235, 185, 9
236, 453, 2
236, 4359, 9
236, 3694, 1
236, 120, 1
237, 110, 1
239, 4773, 4
239, 2926, 1
239, 1017, 10
239, 58, 2
240, 2434, 3
240, 835, 9
240, 136, 6
240, 45, 3
240, 4047, 7
240, 4113, 3
240, 3867, 2
240, 1183, 3
241, 3619, 3
241, 3427, 1
241, 937, 1
241, 2539, 7
241, 18, 7
241, 306, 4
242, 2633, 2
242, 14, 1
243, 993, 6
243, 899, 10
243, 2343, 9
243, 18, 5
243, 572, 1
244, 135, 6
244, 2001, 10
244, 4886, 9
245, 1871, 1
245, 92, 1
246, 1760, 8
246, 3485, 4
247, 4488, 5
247, 1708, 4
247, 1742, 8
247, 1012, 8
248, 168, 9
248, 3246, 7
248, 1010, 2
249, 4537, 5
249, 23, 2
251, 1928, 10
251, 4291, 6
252, 91, 7
253, 572, 1
254, 8, 9
254, 12, 1
255, 2132, 9
255, 53, 4
255, 2487, 8
255, 1309, 7
256, 81, 8
256, 171, 9
257, 98, 7
257, 1943, 8
258, 1821, 2
258, 83, 6
259, 1653, 9
259, 14, 9
261, 1523, 3
261, 4155, 8
261, 636, 3
262, 4230, 7
262, 84, 9
264, 868, 5
264, 4120, 7
265, 1093, 6
265, 4427, 6
265, 446, 2
266, 4330, 10
269, 72, 1
270, 4327, 5
270, 196, 1
270, 1666, 3
271, 145, 8
271, 3510, 2
272, 105, 2
273, 983, 5
273, 1438, 2
274, 2245, 5
274, 80, 3
274, 957, 1
275, 1242, 3
275, 155, 4
275, 3542, 4
276, 1401, 3
277, 129, 4
277, 1282, 3
278, 721, 10
278, 4970, 8
278, 22, 1
279, 2313, 4
279, 2491, 1
280, 188, 10
281, 3470, 10
281, 164, 8
282, 4134, 1
282, 583, 8
282, 104, 6
282, 1724, 1
283, 3766, 2
283, 190, 2
284, 239, 9
285, 1697, 6
285, 1743, 4
285, 1392, 5
285, 792, 4
286, 3136, 1
286, 1617, 2
286, 3347, 10
286, 3153, 6
286, 156, 4
287, 1593, 2
287, 67, 2
287, 3598, 1
289, 2131, 4
290, 162, 10
290, 3799, 3
291, 3809, 8
291, 687, 3
291, 947, 1
291, 1725, 3
292, 4160, 7
292, 977, 3
293, 200, 6
293, 3889, 2
293, 4569, 4
293, 3269, 6
294, 774, 10
294, 152, 6
295, 1576, 3
295, 3449, 9
295, 667, 6
296, 4282, 9
297, 307, 6
298, 818, 1
298, 85, 7
299, 2187, 7
299, 1743, 6
299, 25, 8
299, 1084, 7
300, 34, 7
300, 1710, 8
300, 4464, 2
300, 4535, 1
301, 145, 7
301, 153, 1
302, 3511, 8
303, 3717, 9
303, 173, 10
303, 4600, 2
304, 1640, 1
304, 738, 4
305, 3816, 9
305, 74, 3
305, 1515, 9
305, 3544, 6
308, 1127, 8
308, 55, 8
309, 2931, 5
310, 2529, 1
311, 1946, 6
311, 3989, 5
312, 2613, 9
312, 2110, 7
312, 157, 5
312, 958, 3
314, 323, 10
314, 195, 1
314, 4874, 4
314, 4236, 6
315, 121, 5
316, 133, 8
316, 1574, 2
318, 2566, 1
319, 4200, 6
319, 268, 6
319, 973, 9
319, 31, 1
320, 1528, 5
320, 3498, 5
321, 4137, 4
321, 945, 1
322, 4136, 4
322, 266, 3
322, 1439, 1
323, 740, 7
323, 133, 9
324, 827, 3
324, 187, 7
324, 2703, 7
324, 4443, 10
326, 51, 8
326, 108, 6
327, 2051, 5
327, 429, 7
327, 7, 6
328, 2143, 4
329, 161, 8
329, 1994, 4
329, 3695, 2
331, 2496, 3
331, 4576, 1
331, 3044, 6
331, 1417, 9
331, 909, 1
331, 117, 1
331, 3261, 5
332, 108, 6
332, 1011, 2
332, 3157, 7
333, 1, 5
333, 3265, 2
335, 3139, 2
335, 4568, 10
335, 2247, 5
335, 94, 3
336, 1184, 7
336, 4611, 8
336, 3157, 2
336, 2363, 9
337, 2874, 4
337, 52, 5
339, 862, 1
340, 2922, 9
340, 1451, 9
340, 85, 4
340, 312, 2
340, 1018, 1
341, 2, 2
341, 2916, 8
341, 1546, 8
341, 4184, 8
341, 1692, 9
342, 2402, 3
342, 4972, 9
342, 178, 8
342, 158, 10
343, 46, 6
344, 168, 4
345, 4754, 10
345, 196, 7
345, 1421, 4
345, 1178, 2
346, 3377, 1
346, 84, 3
347, 3621, 6
347, 3976, 6
347, 2698, 4
348, 34, 5
348, 4723, 5
348, 62, 4
349, 3035, 2
349, 1166, 9
349, 654, 9
349, 2478, 3
349, 565, 4
349, 4956, 5
350, 25, 3
350, 1653, 6
352, 3687, 3
353, 945, 4
354, 104, 6
354, 2521, 6
354, 469, 10
356, 193, 7
356, 2303, 7
357, 3811, 4
357, 135, 1
358, 1123, 7
358, 3185, 10
358, 1459, 3
359, 1389, 2
360, 2652, 10
360, 158, 3
361, 368, 9
361, 3921, 6
361, 4788, 10
361, 693, 7
361, 4758, 7
361, 220, 10
362, 699, 8
363, 4129, 4
363, 3554, 9
363, 197, 7
364, 153, 3
364, 4409, 9
366, 94, 7
367, 2821, 9
367, 119, 5
368, 23, 8
369, 4992, 5
369, 1987, 6
369, 311, 10
370, 120, 10
371, 2298, 8
371, 195, 8
373, 2401, 1
373, 194, 2
373, 2247, 6
373, 362, 6
373, 2431, 2
374, 1096, 4
374, 4840, 10
374, 3951, 3
374, 2652, 10
375, 36, 9
377, 138, 3
378, 84, 4
378, 2455, 4
378, 4121, 3
378, 3067, 7
379, 416, 6
379, 172, 9
379, 4140, 10
379, 1074, 9
379, 1462, 4
380, 198, 10
381, 178, 7
382, 4003, 2
382, 3753, 2
382, 3597, 4
382, 1291, 5
382, 3287, 9
383, 1120, 4
383, 3880, 3
383, 3981, 3
383, 2577, 4
383, 3127, 6
383, 4442, 8
384, 4834, 2
385, 776, 6
385, 1289, 10
386, 1395, 5
388, 1101, 3
389, 183, 2
390, 618, 5
390, 156, 5
390, 4926, 5
392, 1147, 5
392, 4252, 9
393, 145, 7
393, 3502, 7
394, 67, 2
394, 3414, 3
394, 831, 5
395, 9, 8
395, 1687, 6
396, 4676, 7
396, 105, 2
396, 464, 10
396, 4211, 2
397, 96, 4
398, 2802, 1
398, 1986, 5
399, 4314, 1
402, 107, 1
402, 46, 3
402, 1335, 2
403, 2395, 5
403, 127, 8
404, 29, 9
405, 2801, 5
405, 61, 4
406, 1319, 9
406, 1677, 2
406, 2998, 9
407, 638, 8
407, 2750, 1
408, 10, 3
408, 274, 6
409, 2, 8
409, 3267, 9
409, 3274, 9
409, 3854, 9
409, 915, 8
410, 590, 1
411, 50, 10
412, 16, 2
412, 504, 8
412, 36, 9
413, 179, 8
413, 3942, 4
414, 28, 6
416, 1868, 5
416, 111, 4
417, 146, 6
417, 3019, 4
418, 4099, 6
418, 2116, 1
418, 2220, 4
418, 3101, 7
419, 263, 4
420, 1834, 2
420, 527, 2
420, 2323, 9
420, 4886, 8
420, 4635, 2
421, 1652, 9
421, 1505, 5
422, 144, 3
423, 3862, 7
424, 1850, 2
424, 3133, 3
425, 1991, 3
425, 199, 6
426, 3147, 6
426, 2643, 4
427, 69, 9
427, 4358, 9
427, 1962, 10
427, 3764, 9
429, 152, 6
429, 3089, 9
429, 4165, 9
430, 161, 7
430, 3252, 2
431, 416, 6
431, 1194, 7
432, 4100, 1
432, 4041, 4
432, 1659, 3
432, 11, 3
432, 3693, 1
432, 2492, 9
433, 3859, 7
433, 75, 9
434, 3491, 9
435, 1801, 1
435, 1542, 2
436, 144, 9
436, 1514, 2
436, 3574, 8
437, 4739, 10
438, 606, 8
439, 24, 7
439, 3120, 6
439, 1047, 6
439, 3264, 4
440, 2681, 5
441, 673, 7
441, 3554, 1
441, 4, 2
441, 3793, 5
441, 4503, 5
441, 2430, 10
443, 2464, 1
443, 1250, 5
443, 190, 9
444, 1921, 7
444, 2054, 10
445, 1403, 9
445, 4934, 7
445, 183, 6
446, 1941, 1
446, 4415, 10
447, 136, 6
447, 4121, 10
448, 3148, 2
448, 273, 4
449, 1671, 3
450, 90, 10
451, 2294, 5
452, 299, 8
452, 43, 8
453, 1605, 3
454, 34, 5
454, 916, 2
454, 3288, 4
455, 2273, 6
455, 1321, 8
455, 108, 2
455, 686, 1
455, 1427, 10
456, 3331, 8
456, 3787, 8
456, 655, 7
456, 4917, 2
457, 3310, 6
458, 1795, 1
458, 73, 5
459, 2401, 9
459, 2311, 9
459, 2609, 6
459, 4849, 4
459, 2039, 6
460, 4872, 5
460, 113, 3
460, 769, 8
461, 485, 5
461, 1341, 1
462, 2311, 4
463, 2287, 8
463, 4999, 6
463, 135, 1
464, 32, 1
464, 3435, 10
465, 2305, 6
465, 2567, 7
465, 2323, 1
465, 2234, 4
465, 60, 8
466, 4324, 2
466, 1960, 1
466, 3710, 2
468, 2883, 2
468, 76, 10
468, 750, 8
469, 169, 9
469, 1867, 3
469, 1651, 8
470, 181, 10
470, 3327, 4
471, 73, 5
471, 4603, 9
473, 2745, 1
473, 1620, 9
475, 258, 2
475, 308, 9
476, 4708, 8
476, 2470, 8
476, 41, 8
476, 4604, 2
477, 2562, 2
477, 45, 8
477, 3892, 6
477, 3349, 10
477, 4859, 10
478, 3104, 8
479, 118, 5
480, 176, 3
480, 4209, 8
480, 1782, 4
480, 4153, 4
481, 65, 2
481, 100, 10
481, 4023, 10
481, 568, 3
483, 849, 4
483, 179, 8
484, 4386, 7
484, 3503, 1
484, 4024, 2
484, 2525, 9
484, 3518, 1
485, 1689, 1
486, 3116, 10
486, 242, 3
486, 84, 4
486, 59, 8
487, 4649, 8
487, 28, 6
489, 3207, 9
490, 194, 1
490, 4477, 5
491, 1480, 7
491, 43, 2
492, 2545, 5
492, 1010, 2
492, 3804, 6
493, 1198, 10
493, 4016, 4
494, 2700, 2
494, 2712, 3
494, 126, 8
495, 4656, 9
495, 149, 2
495, 1175, 1
495, 3992, 1
496, 3874, 7
496, 3403, 3
496, 1869, 2
496, 1457, 7
496, 1971, 9
498, 3548, 3
499, 1476, 10
499, 3879, 3
499, 330, 10
499, 47, 2
499, 2164, 1
499, 1972, 4
500, 3771, 5
501, 37, 2
501, 3639, 6
502, 58, 10
503, 73, 3
504, 3624, 3
504, 199, 4
505, 4752, 4
505, 124, 8
505, 1436, 7
505, 3741, 8
506, 672, 7
506, 195, 7
507, 1691, 10
509, 1809, 9
510, 139, 7
510, 848, 8
510, 3030, 1
511, 3961, 8
512, 304, 6
512, 4882, 1
513, 805, 5
513, 683, 1
513, 1068, 5
513, 4436, 8
514, 454, 2
515, 3425, 7
515, 191, 9
516, 102, 3
517, 40, 8
517, 1131, 1
517, 92, 4
520, 883, 1
520, 36, 3
521, 32, 5
522, 162, 6
522, 4413, 8
522, 2938, 9
523, 2983, 7
523, 1391, 4
523, 4624, 7
523, 3697, 7
523, 2046, 2
