uid, cid
7,ACTSC391
72,ACTSC432
83,ACTSC432
7,ACTSC453
75,AE104
99,AE121
156,AE199
11,AE280
21,AE353
7,AE495
44,AFM131
187,AFM212
176,AFM244
150,AFM274
37,AFM322
66,AFM322
130,AFM322
97,AFM323
91,AFM333
77,AFM335
73,AFM373
150,AFM423
122,AFM427
28,AFM428
77,AFM433
91,AFM448
100,AFM452
103,AFM452
78,AFM463
95,AMATH250
83,AMATH332
169,AMATH342
193,AMATH361
5,AMATH445
88,AMATH455
5,AMATH475
100,ANTH202
133,ANTH330
128,ANTH345
97,ANTH347
138,ANTH347
31,ANTH455
17,APPLS301
58,ARABIC101R
29,ARABIC102R
108,ARABIC201R
169,ARABIC301R
131,ARBUS102
55,ARCH173
91,ARCH246
39,ARCH276
85,ARCH484
171,ARCH570
149,ARTS301
58,ARTS365
3,ARTS367
144,ARTS367
94,ARTS390
74,AVIA101
197,AVIA374
117,AVIA408
40,AVIA474
145,BASE32
143,BASE46
150,BET210
28,BET300
60,BET420
90,BET470
107,BIOL130
25,BIOL225
63,BIOL225
83,BIOL308
3,BIOL310
22,BIOL323
173,BIOL351
183,BIOL355
156,BIOL370
139,BIOL428
157,BIOL428
72,BIOL432
94,BIOL433
163,BIOL434
125,BIOL443
2,BIOL456
162,BIOL456
164,BIOL475
129,BIOL486
151,BIOL498A
54,BLKST230
191,BLKST303
143,BLKST399
127,BME161
65,BME181
164,BME285L
55,BME294
195,BME399
76,BUS121W
43,BUS208W
73,BUS231W
161,BUS231W
200,BUS311W
100,BUS452W
22,CDNST212
198,CDNST244
19,CFM301
6,CFM401
174,CHE181
180,CHE225
58,CHE390
85,CHE398
21,CHE399
36,CHE399
122,CHE401
34,CHE402
174,CHE483
198,CHE491
96,CHE521
111,CHE541
93,CHE561
1,CHEM233
189,CHEM233
84,CHEM254
149,CHEM350L
133,CHEM357
174,CHEM392A
53,CHEM392B
198,CHEM392B
17,CHEM433
85,CHEM433
157,CHEM433
74,CHINA180R
96,CHINA202R
162,CHINA320R
8,CHINA402R
12,CI267
152,CIVE100
177,CIVE199
111,CIVE221
138,CIVE341
171,CIVE341
44,CIVE382
63,CIVE382
17,CIVE498
189,CLAS201
86,CLAS205
89,CLAS220
42,CLAS231
23,CLAS260
122,CLAS342
156,CLAS351
90,CLAS352
132,CLAS461
14,CLAS490A
102,CLAS490A
11,CLAS492
133,CO342
61,CO351
175,CO380
80,CO444
122,CO452
118,CO480
127,CO481
161,CO485
38,CO499
198,COGSCI300
31,COMM101
88,COMM321
144,COMMST102
63,COMMST111
182,COMMST220
104,COMMST300
14,COMMST401
41,COMMST402
74,COMMST410
108,COMMST435
43,COMMST499A
35,COOP10
154,COOP4
84,CROAT102
169,CROAT299
65,CS137
118,CS137
111,CS145
181,CS146
23,CS240
34,CS251
188,CS251E
69,CS341
192,CS346
23,CS371
173,CS442
153,CS446
146,CS456
10,CS459
24,CS486
10,CS487
73,CS488
192,CS488
108,DAC202
2,DAC305
5,DAC401
70,DAC401
155,DAC402
121,DUTCH101
181,DUTCH271
192,EARTH223
158,EARTH238
97,EARTH281
73,EARTH342
200,EARTH490
9,EARTH491
95,EASIA100R
193,EASIA206R
21,EASIA250R
79,EASIA275R
23,EASIA336R
43,EASIA382R
175,ECE101A
108,ECE101D
108,ECE106
53,ECE108
85,ECE198
34,ECE204
152,ECE360
45,ECE375
81,ECE401
182,ECE405D
189,ECE405D
96,ECE432
159,ECE444
200,ECE451
108,ECE452
81,ECE457B
190,ECE463
74,ECE481
2,ECE499
178,ECON101
188,ECON101
8,ECON201
159,ECON262
158,ECON323
82,ECON371
9,ECON381
198,ECON381
86,ECON423
169,ECON436
43,ECON437
82,ECON452
70,ECON472
128,ECON487
12,ECON496
60,EMLS102R
24,ENBUS211
49,ENBUS310
42,ENBUS405
86,ENGL100C
200,ENGL101B
76,ENGL132R
157,ENGL202A
181,ENGL202A
74,ENGL202B
93,ENGL202B
14,ENGL208A
107,ENGL208A
92,ENGL210C
63,ENGL210I
32,ENGL210J
152,ENGL221
128,ENGL230
186,ENGL240R
14,ENGL248
14,ENGL280
92,ENGL280
100,ENGL292
139,ENGL293
13,ENGL305B
180,ENGL306A
68,ENGL306B
180,ENGL313
65,ENGL315
200,ENGL318
126,ENGL319
137,ENGL327
176,ENGL343
92,ENGL347
70,ENGL405
104,ENGL408B
75,ENGL408C
116,ENGL408C
96,ENGL432
127,ENGL451B
115,ENGL460B
147,ENGL460C
179,ENGL460C
70,ENGL472
121,ENGL484
164,ENGL491
60,ENVE225
78,ENVE275
17,ENVE298
56,ENVE495
26,ENVE499
113,ENVE583
52,ENVS178
115,ENVS220
186,ENVS310
114,ENVS401
30,ENVS469
104,ENVS476B
145,ERS225
48,ERS234
82,ERS265
112,ERS270
123,ERS301
103,ERS317
181,ERS340
186,ERS346
83,ERS401
89,ERS402
145,ERS454
152,ERS460
101,FINE101
61,FINE102
23,FINE205
90,FINE209
159,FINE214
148,FINE224
163,FINE224
25,FINE225
75,FINE241
132,FINE241
158,FINE256
35,FINE258
141,FINE258
195,FINE261
191,FINE262
169,FINE271
46,FINE302
197,FINE332
182,FINE362
20,FINE383
143,FINE472
40,FR151
187,FR151
138,FR203
78,FR276
10,FR292
120,FR303
149,FR353
51,FR399A
78,FR473
145,FR473
117,FR484
36,FR486
186,GBDA101
3,GBDA204
32,GBDA303
11,GBDA311
59,GBDA402
68,GBDA414
160,GBDA414
