uid1, uid2
97,1
83,3
88,3
135,3
197,3
99,5
95,6
65,7
71,7
142,7
124,11
46,12
129,14
55,16
30,18
64,18
95,20
169,20
129,21
79,24
143,24
168,24
169,24
106,25
133,25
153,27
18,30
108,32
128,32
186,32
89,35
92,35
121,35
152,35
157,37
100,39
180,45
12,46
99,46
178,46
48,47
47,48
61,48
85,49
142,51
147,54
168,54
16,55
161,55
169,56
75,57
176,57
123,59
48,61
128,61
172,62
193,63
18,64
7,65
173,65
120,67
157,67
120,69
135,70
7,71
116,71
168,71
84,72
57,75
137,75
189,77
165,78
24,79
186,79
103,80
3,83
124,83
72,84
49,85
169,87
3,88
173,88
35,89
35,92
6,95
20,95
111,96
1,97
5,99
46,99
161,99
169,99
176,99
39,100
80,103
164,103
164,105
25,106
32,108
189,109
96,111
191,111
141,113
200,114
71,116
126,116
194,119
67,120
69,120
173,120
35,121
59,123
162,123
11,124
83,124
116,126
185,127
32,128
61,128
14,129
21,129
130,129
172,129
129,130
143,130
181,131
25,133
3,135
70,135
75,137
170,137
113,141
7,142
51,142
24,143
130,143
188,143
165,145
198,145
54,147
192,148
163,150
35,152
27,153
37,157
67,157
55,161
99,161
123,162
150,163
195,163
103,164
105,164
174,164
78,165
145,165
181,166
24,168
54,168
71,168
20,169
24,169
56,169
87,169
99,169
137,170
62,172
129,172
65,173
88,173
120,173
164,174
190,174
193,175
57,176
99,176
195,176
46,178
45,180
131,181
166,181
127,185
32,186
79,186
143,188
193,188
77,189
109,189
174,190
111,191
148,192
63,193
175,193
188,193
119,194
163,195
176,195
3,197
145,198
114,200
