sessionId, userId, review
1,5,7
2,12,9
3,45,8
4,23,6
5,78,10
6,56,5
7,34,7
8,89,6
9,67,8
10,100,9
11,145,7
12,87,5
13,23,9
14,198,10
15,3,6
16,47,8
17,55,7
18,64,9
19,176,5
20,85,10
21,92,6
22,104,7
23,45,9
24,67,8
25,33,10
26,78,5
27,89,7
28,12,6
29,45,8
30,101,9
31,67,10
32,23,5
33,199,7
34,78,6
35,56,9
36,34,10
37,45,8
38,23,7
39,89,6
40,1,10
40,2,10
40,3,9
40,4,8
40,10,7
40,44,9
40,99,10
40,100,9
40,123,6
41,2,2
41,12,10
42,45,5
43,11,10
43,13,10
43,23,10
43,32,9
43,41,8
43,51,7
43,78,8
43,113,6
44,89,7
45,67,6
46,34,9
47,23,10
48,56,5
49,78,8
50,89,7
51,15,8
52,120,7
53,22,6
54,39,9
55,110,10
56,58,5
57,72,7
58,91,6
59,33,8
60,80,9
61,140,7
62,99,5
63,26,9
64,192,10
65,4,6
66,41,8
67,52,7
68,63,9
69,172,5
70,88,10
71,95,6
72,114,7
73,44,9
74,68,8
75,36,10
76,83,5
77,90,7
78,14,6
79,49,8
80,105,9
81,77,10
82,28,5
83,190,7
84,70,6
85,58,9
86,35,10
87,47,8
88,19,7
89,92,6
90,84,9
91,18,10
92,43,5
93,76,8
94,89,7
95,61,6
96,38,9
97,27,10
98,56,5
99,80,8
100,93,7
101,16,7
102,125,9
103,38,8
104,21,6
105,99,10
106,59,5
107,42,7
108,87,6
109,34,8
110,105,9
111,142,7
112,98,5
113,29,9
114,190,10
115,5,6
116,52,8
117,69,7
118,78,9
119,162,5
120,88,10
121,93,6
122,111,7
123,49,9
124,63,8
125,31,10
126,75,5
127,84,7
128,14,6
129,47,8
130,115,9
131,72,10
132,21,5
133,183,7
134,68,6
135,55,9
136,36,10
137,49,8
138,24,7
139,92,6
140,80,9
141,10,10
142,41,5
143,74,8
144,89,7
145,57,6
146,39,9
147,30,10
148,62,5
149,81,8
150,97,7
151,18,6
152,123,8
153,42,7
154,27,9
155,101,10
156,63,5
157,33,7
158,88,6
159,47,8
160,113,9
161,150,7
162,91,5
163,32,9
164,185,10
165,7,6
166,53,8
167,75,7
168,82,9
169,165,5
170,95,10
171,100,6
172,118,7
173,46,9
174,65,8
175,28,10
176,70,5
177,87,7
178,13,6
179,55,8
180,123,9
181,79,10
182,20,5
183,177,7
184,60,6
185,50,9
186,37,10
187,44,8
188,26,7
189,98,6
190,82,9
191,15,10
192,48,5
193,73,8
194,94,7
195,68,6
196,41,9
197,22,10
198,59,5
199,81,8
200,107,7
201,15,8
202,120,7
203,22,6
204,39,9
205,110,10
206,58,5
207,72,7
208,91,6
209,33,8
210,80,9
211,140,7
212,99,5
213,26,9
214,192,10
215,4,6
216,41,8
217,52,7
218,63,9
219,172,5
220,88,10
221,95,6
222,114,7
223,44,9
224,68,8
225,36,10
226,83,5
227,90,7
228,14,6
229,49,8
230,105,9
231,77,10
232,28,5
233,190,7
234,70,6
235,58,9
236,35,10
237,47,8
238,19,7
239,92,6
240,84,9
241,18,10
242,43,5
243,76,8
244,89,7
245,61,6
246,38,9
247,27,10
248,56,5
249,80,8
250,93,7
251,21,9
252,125,8
253,37,7
254,48,6
255,102,10
256,69,5
257,54,7
258,86,6
259,33,8
260,104,9
261,137,7
262,98,5
263,29,9
264,188,10
265,6,6
266,41,8
267,51,7
268,62,9
269,176,5
270,87,10
271,92,6
272,114,7
273,49,9
274,67,8
275,34,10
276,79,5
277,88,7
278,16,6
279,46,8
280,110,9
281,72,10
282,20,5
283,180,7
284,67,6
285,55,9
286,32,10
287,47,8
288,26,7
289,92,6
290,79,9
291,18,10
292,45,5
293,70,8
294,85,7
295,60,6
296,38,9
297,27,10
298,52,5
299,91,8
300,107,7
